"plot","census","dominant_PFT","acom","bcom","ccom","minDBHcom","maxDBHcom","maxDBHdead","pattern","nb_trees","nb_deaths"
"T0614","2015-2020","EB-tree",-2.16313468876273,0.0254595922066666,-1.01671635538591,0.999493042617103,55.9015822115973,14.5,"U-shaped",456,114
"T0615","2015-2020","EB-tree",-3.04057523997872,0.0206209337685117,-0.385986703180205,0.999493042617103,30.7,30.7,"U-shaped",426,72
"T0616","2015-2020","EB-tree",-2.36460422381048,-0.127478673183446,-0.349557455589978,0.999493042617103,39.1998624835338,14.4,"Declined",561,130
"T0617","2015-2020","EB-tree",-2.14756553846886,0.0177696357432621,-1.09346490002558,0.999493042617103,26.6998332530964,15,"Declined",523,109
"T0618","2015-2020","EB-tree",-2.19788107876809,-0.035443547211696,-0.559276709793863,0.999493042617103,29.0012137302052,24.7,"Declined",546,157
"T0619","2015-2020","EB-tree",-2.25032590505705,-0.0460626935090384,-0.55765180536226,0.999493042617103,32.7986506723778,15.8,"Declined",536,137
"T0620","2015-2020","EB-tree",-2.25472694494291,-0.397371798959722,0.489645360414025,0.999493042617103,29.8988476092435,8.700000001,"Unimodal",496,112
"T0701","2015-2020","EB-tree",-2.48077033157609,0.00860869088340503,-0.463813198431224,1.11408460164327,44.4042291226388,22.18619907,"Declined",283,66
"T0702","2015-2020","EB-tree",-3.46176249695703,-0.013105385233739,-0.204844858612917,0.986760647169751,47.8101449048054,19.00310021,"Declined",380,45
"T0703","2015-2020","EB-tree",-3.22548307426029,0.0917481342334093,-0.99457813778332,0.986760647169751,48.8923985178302,26.80169242,"U-shaped",427,50
"T0704","2015-2020","EB-tree",-3.18746099811401,0.0392012210978556,-1.07553532932337,0.986760647,44.4997220884939,15.50169146,"U-shaped",375,38
"T0705","2015-2020","EB-tree",-2.34903697497873,0.143995815392237,-1.54184992018596,0.986760647,42.8126796917199,35.49155231,"U-shaped",483,99
"T0706","2015-2020","EB-tree",-3.41285281602265,-0.0473136508640491,0.137714222672454,1.11408460164327,37.4969045924505,30.90788995,"Unimodal",243,35
"T0707","2015-2020","EB-tree",-2.99619546119151,-0.160755550202655,0.299171141203539,0.986760647169751,37.6878905241608,11.90478974,"Unimodal",252,39
